iter	Passed	Remaining
1014	92629	89891
1015	92729	89808
1016	92809	89706
1017	92890	89605
1018	92971	89504
1019	93059	89410
1020	93149	89317
1021	93233	89219
1022	93314	89118
1023	93388	89010
1024	93476	88916
1025	93556	88815
1026	93656	88732
1027	93769	88661
1028	93853	88563
1029	93934	88462
1030	94039	88384
1031	94152	88313
1032	94247	88225
1033	94338	88134
1034	94425	88038
1035	94574	88001
1036	94742	87981
1037	94928	87978
1038	95040	87905
1039	95170	87849
1040	95266	87761
1041	95348	87662
1042	95439	87570
1043	95519	87467
1044	95603	87370
1045	95692	87275
1046	95772	87173
1047	95850	87069
1048	95969	87003
1049	96055	86907
1050	96137	86807
1051	96216	86704
1052	96297	86603
1053	96376	86500
1054	96464	86406
1055	96544	86305
1056	96620	86199
1057	96714	86110
1058	96797	86011
1059	96875	85908
1060	96977	85826
1061	97076	85742
1062	97169	85651
1063	97259	85558
1064	97338	85457
1065	97428	85364
1066	97508	85262
1067	97583	85156
1068	97680	85070
1069	97766	84974
1070	97847	84874
1071	97939	84783
1072	98018	84681
1073	98114	84594
1074	98211	84507
1075	98293	84408
1076	98375	84308
1077	98458	84210
1078	98535	84107
1079	98614	84005
1080	98704	83912
1081	98791	83817
1082	98878	83722
1083	98968	83630
1084	99050	83531
1085	99128	83428
1086	99240	83355
1087	99333	83264
1088	99409	83161
1089	99501	83069
1090	99578	82967
1091	99664	82871
1092	99751	82776
1093	99841	82683
1094	99920	82582
1095	100004	82485
1096	100082	82383
1097	100163	82284
1098	100258	82195
1099	100369	82120
1100	100450	82020
1101	100537	81926
1102	100620	81828
1103	100713	81738
1104	100802	81645
1105	100888	81549
1106	100969	81450
1107	101064	81362
1108	101145	81263
1109	101228	81164
1110	101320	81074
1111	101411	80983
1112	101512	80899
1113	101605	80809
1114	101699	80720
1115	101775	80618
1116	101871	80530
1117	101952	80431
1118	102034	80333
1119	102125	80241
1120	102204	80140
1121	102295	80049
1122	102385	79957
1123	102464	79856
1124	102561	79770
1125	102656	79682
1126	102741	79585
1127	102814	79480
1128	102911	79394
1129	103005	79304
1130	103079	79201
1131	103165	79105
1132	103247	79007
1133	103343	78920
1134	103432	78827
1135	103513	78728
1136	103601	78634
1137	103724	78568
1138	103804	78468
1139	103876	78362
1140	103968	78272
1141	104051	78175
1142	104129	78074
1143	104220	77982
1144	104303	77886
1145	104386	77788
1146	104479	77699
1147	104569	77607
1148	104663	77518
1149	104771	77440
1150	104858	77345
1151	104943	77250
1152	105029	77155
1153	105108	77055
1154	105185	76954
1155	105275	76862
1156	105362	76767
1157	105437	76665
1158	105528	76574
1159	105609	76475
1160	105690	76377
1161	105778	76284
1162	105881	76202
1163	105963	76104
1164	106046	76007
1165	106122	75905
1166	106208	75811
1167	106294	75716
1168	106372	75616
1169	106460	75523
1170	106549	75430
1171	106627	75330
1172	106713	75236
1173	106800	75142
1174	106877	75041
1175	106981	74960
1176	107071	74868
1177	107151	74769
1178	107228	74669
1179	107319	74577
1180	107398	74478
1181	107477	74379
1182	107564	74285
1183	107648	74190
1184	107727	74091
1185	107809	73994
1186	107896	73900
1187	107979	73804
1188	108090	73727
1189	108172	73629
1190	108250	73530
1191	108336	73436
1192	108420	73340
1193	108524	73258
1194	108608	73163
1195	108692	73067
1196	108779	72973
1197	108869	72882
1198	108956	72788
1199	109046	72697
1200	109151	72616
1201	109246	72528
1202	109324	72428
1203	109413	72336
1204	109496	72240
1205	109582	72146
1206	109675	72056
1207	109767	71966
1208	109854	71873
1209	109960	71792
1210	110038	71693
1211	110116	71593
1212	110225	71514
1213	110327	71431
1214	110404	71331
1215	110492	71238
1216	110582	71147
1217	110665	71051
1218	110757	70961
1219	110836	70862
1220	110926	70771
1221	111015	70679
1222	111091	70578
1223	111169	70480
1224	111260	70389
1225	111362	70305
1226	111462	70220
1227	111542	70123
1228	111629	70029
1229	111725	69942
1230	111813	69849
1231	111907	69760
1232	112000	69671
1233	112085	69576
1234	112170	69481
1235	112281	69403
1236	112381	69318
1237	112488	69237
1238	112589	69152
1239	112676	69059
1240	112757	68963
1241	112861	68880
1242	112948	68787
1243	113034	68693
1244	113158	68622
1245	113286	68553
1246	113414	68485
1247	113604	68454
1248	113736	68387
1249	113851	68310
1250	113961	68231
1251	114116	68178
1252	114235	68103
1253	114343	68022
1254	114444	67937
1255	114519	67836
1256	114621	67751
1257	114718	67664
1258	114796	67564
1259	114886	67473
1260	114967	67376
1261	115046	67277
1262	115135	67185
1263	115219	67089
1264	115293	66988
1265	115379	66894
1266	115465	66800
1267	115540	66699
1268	115634	66610
1269	115715	66513
1270	115825	66433
1271	115920	66344
1272	115997	66245
1273	116083	66151
